epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,75929.6,0.60451,0.28092,0.97568,0.94522,0.75244,0.82994,0.70727,0.49064,0.23672,0.82879,0.0001486,0.0001486,0.0001486
88,76805.1,0.5946,0.27627,0.97569,0.95222,0.74306,0.82793,0.70341,0.49207,0.23666,0.83207,0.0001387,0.0001387,0.0001387
89,77703.6,0.58462,0.27298,0.97124,0.95577,0.74959,0.82891,0.70362,0.48985,0.23483,0.82933,0.0001288,0.0001288,0.0001288
90,78566.5,0.58005,0.26903,0.97361,0.96019,0.74602,0.83111,0.70975,0.4851,0.23854,0.83488,0.0001189,0.0001189,0.0001189
91,79417.1,0.57274,0.26795,0.96984,0.95748,0.74655,0.83327,0.71254,0.48013,0.23443,0.83217,0.000109,0.000109,0.000109
92,80259.7,0.57349,0.26776,0.9708,0.96204,0.74547,0.83287,0.71347,0.48001,0.23472,0.83565,9.91e-05,9.91e-05,9.91e-05
93,81133.1,0.56355,0.26488,0.96962,0.95162,0.74802,0.83593,0.71694,0.4756,0.23144,0.83107,8.92e-05,8.92e-05,8.92e-05
94,81994.2,0.54958,0.26143,0.96623,0.95612,0.74603,0.83497,0.71816,0.47169,0.22691,0.82793,7.93e-05,7.93e-05,7.93e-05
95,82871.6,0.54414,0.25846,0.96593,0.9578,0.74403,0.83398,0.71706,0.46634,0.22522,0.82647,6.94e-05,6.94e-05,6.94e-05
96,83745.6,0.54233,0.25532,0.96783,0.95087,0.74904,0.83513,0.72018,0.462,0.22234,0.82692,5.95e-05,5.95e-05,5.95e-05
97,84595.8,0.53694,0.25456,0.96514,0.95483,0.74649,0.83507,0.72042,0.45985,0.22283,0.82547,4.96e-05,4.96e-05,4.96e-05
98,85507.2,0.5299,0.25184,0.96583,0.94801,0.75131,0.8356,0.72274,0.45212,0.21973,0.82185,3.97e-05,3.97e-05,3.97e-05
99,86411.4,0.52538,0.24947,0.9642,0.95391,0.74899,0.83702,0.72407,0.4532,0.22023,0.82413,2.98e-05,2.98e-05,2.98e-05
100,87299.6,0.51851,0.2466,0.96247,0.94797,0.7518,0.83664,0.72262,0.45314,0.2201,0.82484,1.99e-05,1.99e-05,1.99e-05
