epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,4809.21,0.5097,0.36708,0.88961,0.90373,0.69241,0.73242,0.64389,0.44028,0.35817,0.71954,0.002376,0.002376,0.002376
80,4868.51,0.5312,0.37194,0.8925,0.93283,0.67905,0.72525,0.63564,0.43181,0.3281,0.68799,0.002368,0.002368,0.002368
81,4927.77,0.55323,0.38305,0.89508,0.90795,0.69612,0.73501,0.64716,0.40641,0.29814,0.68459,0.00236,0.00236,0.00236
82,4989.31,0.52709,0.36656,0.88334,0.92761,0.69221,0.73267,0.64797,0.41125,0.29759,0.69471,0.002352,0.002352,0.002352
83,5053.31,0.51897,0.37059,0.88704,0.93231,0.68355,0.73097,0.64925,0.40907,0.31246,0.68965,0.002344,0.002344,0.002344
84,5112.57,0.52431,0.36788,0.88777,0.94629,0.67783,0.73239,0.64832,0.42525,0.29887,0.70012,0.002336,0.002336,0.002336
85,5171.71,0.51818,0.3682,0.89213,0.90801,0.69105,0.73027,0.64391,0.41296,0.33353,0.68696,0.002328,0.002328,0.002328
86,5230.88,0.51224,0.36239,0.89511,0.89478,0.6975,0.74468,0.65535,0.41805,0.31592,0.69396,0.00232,0.00232,0.00232
87,5290.34,0.53502,0.36612,0.88787,0.91591,0.68766,0.73574,0.64421,0.42639,0.29616,0.69119,0.002312,0.002312,0.002312
88,5349.47,0.53127,0.36423,0.88954,0.94426,0.68402,0.7382,0.64939,0.42242,0.29017,0.68707,0.002304,0.002304,0.002304
89,5408.56,0.50201,0.35213,0.88753,0.90165,0.69923,0.73232,0.64911,0.41442,0.35246,0.69736,0.002296,0.002296,0.002296
90,5467.76,0.54297,0.37605,0.89347,0.81342,0.69804,0.73556,0.64189,0.48585,0.58326,0.76621,0.002288,0.002288,0.002288
91,5526.99,0.51171,0.35593,0.88472,0.90164,0.69846,0.73651,0.65192,0.45726,0.37928,0.77382,0.00228,0.00228,0.00228
92,5586.06,0.5061,0.35248,0.88631,0.92261,0.69658,0.74655,0.65362,0.44863,0.37716,0.74609,0.002272,0.002272,0.002272
93,5644.97,0.51347,0.35965,0.89291,0.91844,0.69135,0.73915,0.65335,0.40982,0.3126,0.68186,0.002264,0.002264,0.002264
94,5704.13,0.53845,0.37577,0.88662,0.90715,0.6844,0.72925,0.64249,0.41421,0.32846,0.67838,0.002256,0.002256,0.002256
95,5763.21,0.52013,0.36871,0.88584,0.90116,0.69439,0.73829,0.63365,0.41677,0.33458,0.68987,0.002248,0.002248,0.002248
96,5822.19,0.52614,0.36491,0.8882,0.90064,0.69813,0.7375,0.64597,0.41592,0.43019,0.72293,0.00224,0.00224,0.00224
97,5881.37,0.51703,0.35986,0.8832,0.92851,0.68455,0.73913,0.65029,0.41284,0.37728,0.71875,0.002232,0.002232,0.002232
98,5940.75,0.50534,0.35716,0.88776,0.93753,0.68231,0.73639,0.65345,0.40152,0.35264,0.68097,0.002224,0.002224,0.002224
99,6000,0.50284,0.35045,0.8806,0.90129,0.69729,0.74858,0.66349,0.4027,0.32501,0.6774,0.002216,0.002216,0.002216
100,6059.42,0.52012,0.35765,0.88248,0.90782,0.68913,0.73298,0.65019,0.41525,0.29228,0.69008,0.002208,0.002208,0.002208
101,6118.58,0.51852,0.35787,0.88409,0.92371,0.68967,0.74344,0.65943,0.40046,0.2945,0.68641,0.0022,0.0022,0.0022
102,6177.48,0.49646,0.34704,0.88364,0.93544,0.68543,0.74805,0.66287,0.39941,0.30649,0.69586,0.002192,0.002192,0.002192
103,6236.51,0.50362,0.35142,0.88368,0.89757,0.69582,0.73866,0.64337,0.42841,0.35666,0.72072,0.002184,0.002184,0.002184
104,6295.82,0.50668,0.35702,0.88412,0.89728,0.70559,0.73946,0.65646,0.38922,0.30966,0.68308,0.002176,0.002176,0.002176
105,6354.76,0.51452,0.36088,0.89161,0.94217,0.68913,0.74572,0.65573,0.40309,0.27752,0.68226,0.002168,0.002168,0.002168
106,6414.14,0.49628,0.35134,0.87926,0.94181,0.68848,0.74014,0.65569,0.44146,0.391,0.73944,0.00216,0.00216,0.00216
107,6473.14,0.50226,0.35154,0.87763,0.93469,0.69548,0.74309,0.65109,0.47242,0.42684,0.73165,0.002152,0.002152,0.002152
108,6532.29,0.50576,0.35012,0.8796,0.93499,0.68753,0.7404,0.65195,0.48812,0.44602,0.78062,0.002144,0.002144,0.002144
109,6591.64,0.4949,0.34814,0.88387,0.94676,0.69779,0.74885,0.6616,0.40346,0.3033,0.68182,0.002136,0.002136,0.002136
110,6650.71,0.47775,0.33909,0.88174,0.9169,0.70005,0.74243,0.65558,0.40783,0.31693,0.67415,0.002128,0.002128,0.002128
111,6709.82,0.51095,0.35123,0.88157,0.89242,0.69027,0.741,0.65539,0.42516,0.39318,0.70496,0.00212,0.00212,0.00212
112,6768.92,0.4763,0.33568,0.87203,0.94476,0.6882,0.73998,0.65336,0.40161,0.29751,0.6896,0.002112,0.002112,0.002112
113,6827.88,0.48718,0.3424,0.87853,0.94087,0.68101,0.74235,0.6565,0.40301,0.31082,0.68014,0.002104,0.002104,0.002104
114,6887.26,0.51325,0.35032,0.87786,0.89352,0.69745,0.73521,0.64569,0.39704,0.34759,0.69371,0.002096,0.002096,0.002096
115,6946.31,0.51034,0.35062,0.87384,0.92007,0.70606,0.74947,0.66391,0.41234,0.32737,0.69116,0.002088,0.002088,0.002088
116,7005.61,0.50557,0.3533,0.87886,0.92394,0.70703,0.74956,0.66146,0.41262,0.3143,0.70339,0.00208,0.00208,0.00208
117,7064.92,0.49106,0.33909,0.87475,0.92714,0.70473,0.75243,0.66655,0.41267,0.35348,0.69554,0.002072,0.002072,0.002072
118,7124.3,0.47377,0.33226,0.87628,0.96261,0.68915,0.7481,0.66395,0.37431,0.27637,0.6609,0.002064,0.002064,0.002064
119,7187.83,0.48575,0.33715,0.87103,0.90282,0.70154,0.75131,0.66269,0.37434,0.30503,0.65691,0.002056,0.002056,0.002056
120,7250.29,0.48406,0.34238,0.87256,0.90413,0.70147,0.74763,0.65113,0.36881,0.28295,0.6552,0.002048,0.002048,0.002048
121,7309.53,0.49567,0.34611,0.8831,0.96081,0.68273,0.743,0.66091,0.39887,0.28028,0.66856,0.00204,0.00204,0.00204
122,7368.79,0.49178,0.34303,0.88104,0.90996,0.70046,0.74706,0.65737,0.39442,0.29594,0.69235,0.002032,0.002032,0.002032
123,7427.78,0.49454,0.33971,0.87442,0.88739,0.69379,0.74104,0.65708,0.43493,0.42334,0.73337,0.002024,0.002024,0.002024
124,7487.2,0.4748,0.33054,0.86688,0.92749,0.68555,0.74652,0.66108,0.39745,0.3419,0.68038,0.002016,0.002016,0.002016
125,7546.55,0.47967,0.33711,0.87733,0.91479,0.6903,0.74603,0.66276,0.39106,0.33153,0.67847,0.002008,0.002008,0.002008
126,7605.51,0.46811,0.32576,0.87089,0.9072,0.7014,0.74448,0.6638,0.4167,0.31074,0.66764,0.002,0.002,0.002
127,7664.88,0.47968,0.33036,0.86451,0.91991,0.69826,0.75187,0.67012,0.37863,0.30085,0.65773,0.001992,0.001992,0.001992
128,7724.1,0.45296,0.32205,0.87235,0.95086,0.68915,0.74784,0.66911,0.36537,0.28201,0.65513,0.001984,0.001984,0.001984
129,7783.5,0.45856,0.32226,0.86991,0.95739,0.70343,0.75518,0.6665,0.37523,0.2837,0.66818,0.001976,0.001976,0.001976
130,7842.71,0.45923,0.32227,0.87024,0.92834,0.70654,0.75672,0.66983,0.37249,0.27061,0.67052,0.001968,0.001968,0.001968
131,7901.89,0.46774,0.32889,0.87566,0.92197,0.71015,0.75135,0.66943,0.38822,0.30139,0.67898,0.00196,0.00196,0.00196
132,7961,0.47085,0.32456,0.86723,0.92874,0.70742,0.757,0.67232,0.38385,0.27645,0.6684,0.001952,0.001952,0.001952
133,8020.38,0.48732,0.34051,0.87414,0.95407,0.69462,0.75012,0.66686,0.39649,0.3061,0.68047,0.001944,0.001944,0.001944
134,8079.61,0.46452,0.32707,0.8693,0.92308,0.70471,0.74881,0.66307,0.38771,0.30984,0.66961,0.001936,0.001936,0.001936
